Facilidad;Selección;Sencillez;Tiempo;Amabilidad;gestion;conocimiento;informacion;atencion;solucion
77.8;100;77.8;100;100;77.8;77.8;100;66.7;66.7
100;100;100;100;100;100;100;100;100;100
77.8;88.9;100;66.7;100;77.8;66.7;88.9;88.9;77.8
100;100;100;44.4;100;100;100;100;100;100
100;88.9;100;100;88.9;100;100;100;100;100
22.2;22.2;22.2;22.2;100;44.4;0;22.2;66.7;0
77.8;44.4;55.6;44.4;77.8;66.7;44.4;55.6;44.4;66.7
55.6;88.9;88.9;66.7;100;88.9;77.8;88.9;77.8;77.8
50;50;60;40;60;50;40;60;60;50
44.4;55.6;77.8;33.3;66.7;88.9;88.9;66.7;66.7;88.9
80;100;90;100;80;90;90;100;80;80
90;90;80;90;100;70;80;70;90;70
100;100;44.4;44.4;100;100;100;100;100;100
0;0;10;30;0;20;0;20;30;20
70;70;80;70;100;100;70;80;100;90
44.4;77.8;77.8;77.8;100;77.8;100;100;100;100
100;88.9;88.9;88.9;100;100;100;100;88.9;100
55.6;77.8;100;77.8;100;100;100;100;100;100
66.7;55.6;55.6;88.9;88.9;88.9;88.9;77.8;66.7;66.7
80;70;90;100;80;70;90;70;100;80
100;88.9;88.9;88.9;88.9;88.9;88.9;88.9;100;88.9
66.7;77.8;55.6;88.9;77.8;77.8;66.7;55.6;55.6;77.8
100;80;100;80;70;100;80;90;100;100
11.1;44.4;0;22.2;44.4;0;44.4;44.4;44.4;44.4
77.8;77.8;77.8;100;100;77.8;100;100;100;100
20;10;10;30;0;30;10;30;30;0
30;10;30;0;30;10;0;0;0;10
100;100;44.4;88.9;100;100;100;100;100;77.8
100;100;100;100;100;100;100;100;100;44.4
55.6;100;66.7;44.4;100;100;55.6;100;44.4;77.8
66.7;88.9;77.8;77.8;88.9;88.9;88.9;88.9;88.9;88.9
100;88.9;100;100;100;100;100;100;88.9;88.9
0;77.8;44.4;0;100;100;100;100;44.4;100
100;100;100;100;100;100;100;100;100;100
30;30;10;20;10;10;20;10;30;20
88.9;100;88.9;77.8;77.8;44.4;88.9;66.7;88.9;0
60;40;40;50;60;50;60;50;50;60
90;70;80;70;90;100;80;80;90;90
100;88.9;100;44.4;100;100;88.9;100;100;88.9
66.7;66.7;44.4;44.4;77.8;88.9;55.6;55.6;55.6;44.4
100;100;100;88.9;100;100;100;100;88.9;100
44.4;30;44.4;0;100;55.6;55.6;77.8;66.7;100
100;77.8;100;100;100;100;100;100;100;100
10;0;30;30;0;30;10;0;0;20
77.8;77.8;88.9;44.4;77.8;77.8;88.9;77.8;33.3;77.8
40;50;60;60;50;40;60;40;60;60
100;100;55.6;77.8;100;100;100;100;100;100
55.6;77.8;88.9;33.3;55.6;22.2;11.1;100;44.4;88.9
50;50;60;60;50;50;60;60;60;60
90;90;90;100;70;100;100;80;90;80
70;100;80;90;100;70;70;90;80;100
20;10;10;0;30;20;0;0;30;30
50;60;50;40;40;50;50;40;40;40
100;70;70;100;80;70;100;100;70;100
100;100;77.8;100;100;100;100;100;100;100
100;100;55.6;55.6;100;88.9;100;44.4;100;33.3
60;40;60;50;60;40;40;40;50;60
33.3;44.4;33.3;77.8;100;100;100;100;77.8;100
88.9;100;100;100;88.9;77.8;88.9;100;100;100
0;0;10;20;20;0;30;30;30;30
100;100;0;100;100;100;100;100;44.4;100
100;100;100;33.3;100;100;100;100;100;100
30;10;30;0;20;20;10;30;30;20
100;80;90;100;80;70;90;90;70;70
88.9;100;55.6;77.8;88.9;44.4;55.6;44.4;66.7;66.7
100;100;100;100;100;100;100;100;100;100
100;100;100;100;100;77.8;44.4;100;77.8;0
100;100;100;88.9;100;100;100;100;100;100
60;50;40;50;50;40;60;50;50;60
100;80;90;90;90;70;100;90;90;100
50;60;40;40;40;40;60;40;50;50
0;20;30;30;10;30;0;10;0;0
40;60;50;50;50;40;60;40;50;50
100;88.9;100;100;100;100;100;100;88.9;100
44.4;30;77.8;100;100;44.4;88.9;88.9;77.8;100
100;100;88.9;100;100;100;100;88.9;88.9;88.9
66.7;77.8;100;33.3;77.8;66.7;88.9;77.8;55.6;66.7
100;77.8;100;66.7;100;100;100;100;77.8;100
88.9;88.9;100;44.4;100;88.9;44.4;100;88.9;11.1
70;80;70;80;90;80;100;80;80;80
40;40;40;40;50;50;60;50;40;50
50;40;60;60;60;40;50;40;60;40
100;100;100;90;90;70;90;80;90;80
90;90;90;70;70;80;90;80;100;90
0;100;100;100;100;100;100;100;77.8;100
44.4;100;100;44.4;100;66.7;100;100;100;100
77.8;77.8;66.7;77.8;66.7;77.8;88.9;77.8;66.7;77.8
33.3;0;44.4;11.1;100;100;88.9;88.9;77.8;55.6
22.2;44.4;44.4;22.2;55.6;11.1;11.1;22.2;44.4;0
40;50;50;50;40;40;60;60;40;40
50;40;50;40;60;50;40;40;40;50
40;60;40;50;40;40;60;60;50;50
100;100;100;100;100;100;100;100;100;100
70;90;80;100;70;90;90;90;100;100
22.2;100;100;22.2;77.8;77.8;77.8;77.8;77.8;88.9
44.4;55.6;77.8;44.4;66.7;66.7;77.8;77.8;44.4;55.6
44.4;100;77.8;44.4;100;77.8;77.8;77.8;44.4;44.4
66.7;88.9;100;44.4;100;77.8;100;77.8;88.9;66.7
100;100;77.8;77.8;88.9;77.8;88.9;88.9;100;88.9
44.4;55.6;55.6;33.3;77.8;77.8;77.8;66.7;66.7;77.8
66.7;66.7;66.7;55.6;100;33.3;77.8;100;55.6;44.4
66.7;88.9;100;44.4;44.4;44.4;77.8;88.9;77.8;88.9
33.3;22.2;55.6;55.6;88.9;0;0;0;0;0
66.7;77.8;44.4;77.8;77.8;44.4;33.3;33.3;44.4;33.3
0;30;44.4;0;44.4;44.4;55.6;44.4;44.4;0
60;50;40;60;40;50;50;60;50;60
44.4;33.3;55.6;77.8;44.4;55.6;77.8;77.8;66.7;22.2
77.8;100;77.8;88.9;100;100;100;100;77.8;100
44.4;22.2;22.2;33.3;100;55.6;88.9;77.8;44.4;22.2
88.9;88.9;88.9;55.6;100;100;88.9;100;66.7;100
90;80;80;80;100;100;90;100;70;100
70;90;70;100;100;80;70;80;100;100
66.7;88.9;100;55.6;100;88.9;88.9;100;88.9;88.9
100;100;100;44.4;100;100;77.8;100;44.4;100
60;40;40;50;40;60;40;40;40;50
88.9;88.9;88.9;77.8;100;88.9;100;88.9;100;44.4
44.4;100;100;77.8;100;100;100;100;66.7;100
44.4;77.8;77.8;88.9;100;88.9;77.8;88.9;77.8;100
90;100;80;80;90;90;80;90;90;90
90;90;80;70;100;70;80;80;90;90
30;30;0;20;30;10;30;20;10;30
80;80;100;100;70;80;90;70;100;80
60;40;40;60;60;40;40;40;50;40
11.1;100;44.4;11.1;77.8;33.3;33.3;66.7;11.1;0
40;60;40;40;50;60;40;40;40;40
100;100;100;77.8;100;100;100;100;100;100
30;20;0;30;30;20;20;0;0;0
11.1;11.1;77.8;33.3;11.1;22.2;11.1;0;44.4;0
40;40;60;60;40;40;50;50;60;60
77.8;100;88.9;77.8;88.9;66.7;88.9;55.6;44.4;77.8
77.8;88.9;100;44.4;100;100;44.4;77.8;77.8;100
66.7;66.7;66.7;55.6;77.8;55.6;77.8;55.6;44.4;55.6
77.8;0;100;0;100;100;100;44.4;100;0
100;80;90;100;80;90;90;100;90;80
40;50;40;40;60;60;60;40;60;40
22.2;77.8;77.8;11.1;88.9;88.9;22.2;88.9;22.2;44.4
100;100;100;77.8;100;100;66.7;44.4;77.8;0
70;100;70;70;80;90;80;70;100;70
100;100;100;100;100;100;100;100;100;100
30;10;10;20;10;20;20;0;10;30
22.2;77.8;44.4;55.6;44.4;44.4;44.4;55.6;44.4;44.4
66.7;77.8;44.4;44.4;100;44.4;66.7;77.8;55.6;22.2
40;40;50;40;40;40;60;60;60;50
100;100;100;100;100;77.8;100;100;100;100
0;22.2;44.4;22.2;100;100;100;100;100;0
80;90;80;70;80;80;90;100;100;80
70;90;90;90;70;90;90;90;80;80
60;50;50;40;40;40;40;60;60;50
88.9;100;77.8;100;100;88.9;100;100;100;100
50;40;60;40;50;40;60;40;60;50
60;40;40;50;50;60;60;60;50;60
66.7;100;55.6;77.8;100;100;100;100;88.9;100
0;30;10;30;10;20;0;30;20;30
44.4;11.1;22.2;33.3;55.6;0;11.1;33.3;44.4;11.1
55.6;77.8;30;44.4;88.9;100;100;100;77.8;100
20;30;20;20;20;30;10;30;20;10
60;50;60;60;50;40;60;50;50;60
66.7;100;100;44.4;88.9;77.8;77.8;88.9;100;11.1
100;88.9;77.8;88.9;100;100;100;88.9;88.9;100
55.6;100;100;66.7;100;77.8;66.7;77.8;77.8;55.6
66.7;77.8;77.8;77.8;77.8;100;77.8;77.8;100;77.8
100;100;100;100;100;100;100;100;100;100
40;60;60;40;40;40;50;50;60;60
100;100;77.8;77.8;100;100;100;100;100;100
11.1;100;44.4;88.9;100;100;66.7;100;100;0
10;20;10;0;10;20;0;10;10;10
100;100;100;66.7;100;100;100;100;100;100
100;100;88.9;77.8;100;88.9;100;100;88.9;100
0;44.4;44.4;44.4;77.8;44.4;0;44.4;77.8;0
100;77.8;100;55.6;100;100;100;88.9;100;100
60;60;40;40;50;60;60;40;50;60
77.8;100;33.3;11.1;100;100;100;100;100;100
55.6;77.8;0;77.8;77.8;77.8;77.8;100;77.8;100
60;60;50;40;50;40;50;50;60;40
40;50;60;50;50;50;40;40;40;60
44.4;100;100;88.9;100;66.7;100;88.9;88.9;100
88.9;88.9;100;77.8;100;100;100;100;88.9;100
88.9;100;88.9;100;100;100;66.7;100;100;100
66.7;77.8;88.9;77.8;88.9;77.8;77.8;77.8;77.8;77.8
88.9;30;66.7;66.7;77.8;22.2;77.8;44.4;44.4;0
0;100;100;100;100;100;100;100;100;100
100;100;100;100;100;100;100;100;100;100
88.9;100;88.9;88.9;100;100;100;100;100;100
100;88.9;100;100;88.9;77.8;88.9;100;77.8;100
100;100;100;100;100;100;44.4;100;100;0
100;77.8;77.8;66.7;77.8;77.8;44.4;77.8;100;100
55.6;55.6;77.8;44.4;100;100;100;100;77.8;77.8
0;44.4;0;0;44.4;0;0;100;0;0
100;88.9;100;100;100;77.8;77.8;77.8;88.9;77.8
80;90;90;90;80;100;80;70;70;100
0;11.1;44.4;0;66.7;11.1;0;0;22.2;0
40;50;60;60;40;40;60;50;60;60
44.4;77.8;44.4;66.7;55.6;44.4;44.4;33.3;66.7;44.4
70;100;70;70;90;100;90;70;90;80
100;100;77.8;77.8;100;100;77.8;88.9;100;100
30;0;20;10;0;0;30;10;10;0
100;100;77.8;100;100;88.9;100;100;77.8;88.9
100;88.9;77.8;33.3;100;77.8;100;100;11.1;100
88.9;100;77.8;88.9;100;100;88.9;100;100;88.9
60;40;50;60;60;60;60;60;50;40
100;77.8;100;77.8;100;77.8;100;77.8;88.9;100
22.2;33.3;77.8;11.1;88.9;44.4;88.9;77.8;55.6;0
40;50;50;50;60;50;40;50;60;40
33.3;100;100;77.8;100;100;100;100;100;100
77.8;0;22.2;0;100;100;100;100;100;100
100;90;90;100;70;90;90;80;80;90
60;60;40;50;40;50;40;50;50;50
77.8;44.4;55.6;66.7;100;77.8;88.9;88.9;66.7;77.8
77.8;77.8;77.8;44.4;77.8;66.7;66.7;77.8;77.8;77.8
77.8;66.7;77.8;88.9;100;88.9;88.9;100;88.9;88.9
33.3;88.9;88.9;0;100;66.7;100;100;100;100
100;100;100;100;100;100;88.9;100;100;100
44.4;100;100;77.8;100;100;100;100;100;100
100;100;100;77.8;100;100;100;100;100;100
44.4;77.8;44.4;66.7;88.9;77.8;33.3;44.4;33.3;22.2
0;100;100;100;100;100;100;100;100;100
10;20;30;10;10;30;30;30;10;20
40;50;50;40;60;40;60;40;60;60
100;77.8;77.8;88.9;100;100;100;100;100;100
77.8;100;77.8;100;100;77.8;77.8;100;100;66.7
20;30;20;0;0;30;20;0;10;20
77.8;44.4;77.8;100;100;100;77.8;100;77.8;44.4
50;50;60;60;40;60;60;40;50;60
0;20;20;20;30;0;10;0;0;10
100;100;100;88.9;100;100;100;100;88.9;100
77.8;100;100;88.9;100;77.8;100;66.7;77.8;0
22.2;55.6;88.9;44.4;88.9;11.1;66.7;11.1;44.4;0
100;100;100;88.9;100;100;100;100;100;100
0;11.1;100;88.9;11.1;22.2;33.3;0;0;77.8
100;100;100;100;100;100;0;100;100;0
22.2;88.9;44.4;55.6;100;88.9;88.9;88.9;77.8;88.9
70;90;80;70;90;100;70;90;80;80
88.9;77.8;55.6;88.9;77.8;66.7;66.7;66.7;66.7;66.7
100;100;88.9;88.9;100;100;100;100;77.8;100
0;100;22.2;77.8;100;77.8;100;44.4;100;44.4
100;88.9;100;77.8;100;88.9;100;88.9;100;100
50;40;50;50;40;40;40;40;50;60
77.8;100;100;88.9;100;100;100;100;100;100
90;80;70;90;80;80;90;70;90;90
44.4;88.9;77.8;55.6;100;100;77.8;100;77.8;100
33.3;100;44.4;44.4;100;55.6;77.8;44.4;44.4;0
0;44.4;44.4;77.8;88.9;88.9;77.8;77.8;88.9;77.8
10;30;10;20;0;10;0;0;10;0
100;100;100;44.4;100;100;100;100;100;100
100;30;100;44.4;100;100;88.9;100;88.9;100
44.4;30;0;77.8;100;88.9;100;100;88.9;88.9
100;100;77.8;77.8;100;77.8;88.9;77.8;100;100
100;100;77.8;77.8;100;100;88.9;100;88.9;77.8
66.7;66.7;100;66.7;100;100;88.9;100;100;88.9
44.4;77.8;88.9;33.3;55.6;88.9;66.7;66.7;44.4;44.4
70;70;100;80;90;80;70;100;70;100
40;50;50;60;40;40;40;50;60;50
30;30;10;30;10;20;20;30;0;30
22.2;44.4;100;44.4;44.4;44.4;100;66.7;44.4;100
11.1;66.7;22.2;44.4;88.9;88.9;77.8;55.6;77.8;77.8
100;100;88.9;66.7;100;100;66.7;77.8;100;100
50;60;50;40;50;40;60;40;40;60
30;10;10;20;10;0;10;20;10;30
100;100;100;100;100;100;100;100;100;100
100;100;100;88.9;100;100;100;100;100;100
100;100;100;88.9;100;100;100;100;100;100
88.9;100;100;88.9;77.8;88.9;66.7;88.9;77.8;88.9
30;30;0;0;30;0;10;20;0;0
10;10;0;20;0;0;10;30;0;30
22.2;55.6;44.4;44.4;44.4;44.4;0;0;0;0
88.9;100;88.9;88.9;100;88.9;100;100;100;100
40;50;40;60;60;60;60;60;60;50
80;100;80;80;90;90;70;90;90;90
11.1;55.6;0;11.1;55.6;22.2;33.3;44.4;22.2;66.7
100;90;100;90;90;90;80;100;100;90
100;100;100;77.8;100;100;77.8;100;77.8;88.9
77.8;100;100;66.7;77.8;100;88.9;88.9;77.8;77.8
55.6;77.8;77.8;44.4;77.8;100;66.7;88.9;66.7;100
77.8;66.7;77.8;55.6;88.9;88.9;88.9;77.8;77.8;66.7
30;30;0;10;10;20;0;10;20;20
100;100;100;88.9;100;88.9;100;100;88.9;100
90;100;90;80;80;70;90;90;70;80
40;40;60;40;60;40;60;60;50;60
100;100;100;100;100;100;100;100;100;66.7
100;100;100;100;100;100;100;100;100;100
77.8;88.9;44.4;11.1;88.9;77.8;77.8;44.4;66.7;77.8
60;40;60;60;50;40;50;40;60;50
77.8;77.8;100;100;100;100;100;100;100;100
60;50;50;50;40;60;40;50;50;50
10;30;10;20;30;10;20;20;10;30
55.6;55.6;44.4;55.6;100;77.8;66.7;77.8;88.9;77.8
77.8;88.9;100;77.8;88.9;77.8;77.8;77.8;88.9;100
0;30;0;20;10;20;10;20;20;30
100;100;77.8;77.8;100;100;66.7;100;88.9;66.7
100;100;100;0;100;100;100;100;100;100
100;70;80;90;100;80;90;80;90;90
100;88.9;100;88.9;100;100;100;66.7;100;100
33.3;88.9;11.1;44.4;100;88.9;100;88.9;100;88.9
55.6;100;66.7;33.3;100;100;100;77.8;66.7;100
88.9;100;77.8;77.8;77.8;0;0;0;44.4;0
40;50;50;50;60;60;50;40;50;50
77.8;55.6;33.3;88.9;77.8;100;88.9;88.9;44.4;88.9
77.8;100;100;100;88.9;88.9;100;100;100;88.9
20;20;10;30;20;0;20;10;0;0
0;44.4;100;0;100;0;0;0;44.4;77.8
30;20;30;20;20;10;10;10;20;0
44.4;100;100;55.6;66.7;55.6;55.6;77.8;66.7;44.4
80;80;100;70;100;70;100;100;80;100
100;100;80;70;100;80;80;90;90;80
11.1;33.3;77.8;44.4;88.9;33.3;100;88.9;33.3;66.7
50;40;40;40;50;60;50;40;40;60
100;100;44.4;44.4;100;100;100;100;100;100
100;77.8;66.7;100;100;77.8;77.8;100;88.9;100
100;80;80;70;80;100;100;70;100;90
100;100;100;100;100;100;100;100;100;100
100;100;100;100;100;100;100;88.9;100;100
10;20;10;20;30;10;30;10;10;20
44.4;0;0;0;77.8;77.8;22.2;44.4;0;44.4
100;100;66.7;22.2;44.4;22.2;11.1;33.3;55.6;22.2
50;60;40;50;40;60;60;50;40;60
100;0;44.4;77.8;77.8;100;44.4;100;100;100
90;100;100;90;70;90;100;90;70;80
10;20;30;30;10;0;30;30;10;10
66.7;30;100;55.6;100;100;100;100;100;100
77.8;100;100;66.7;77.8;88.9;88.9;88.9;77.8;77.8
77.8;66.7;66.7;77.8;88.9;88.9;66.7;77.8;77.8;66.7
60;40;60;60;40;40;40;60;60;40
80;100;100;100;70;100;90;80;70;80
66.7;88.9;66.7;66.7;77.8;88.9;55.6;44.4;66.7;44.4
77.8;88.9;77.8;77.8;88.9;88.9;88.9;88.9;77.8;100
100;70;70;70;100;80;90;90;80;70
10;30;30;20;0;20;10;30;0;0
50;40;40;40;50;60;60;40;40;60
40;40;40;40;50;60;40;40;50;60
44.4;100;77.8;0;77.8;44.4;77.8;44.4;44.4;0
11.1;77.8;44.4;11.1;44.4;11.1;22.2;11.1;66.7;0
22.2;22.2;22.2;44.4;44.4;33.3;44.4;33.3;33.3;44.4
88.9;100;88.9;77.8;100;100;88.9;88.9;88.9;88.9
66.7;0;22.2;100;100;100;100;100;100;100
100;100;100;88.9;100;100;100;100;100;100
50;40;40;40;60;60;50;40;60;60
60;60;60;60;40;60;40;60;50;60
22.2;77.8;77.8;22.2;77.8;88.9;77.8;55.6;77.8;77.8
77.8;66.7;88.9;55.6;88.9;88.9;77.8;88.9;77.8;100
88.9;100;100;77.8;100;88.9;44.4;100;100;100
40;50;60;50;40;40;40;60;60;60
100;100;44.4;88.9;100;100;44.4;55.6;88.9;0
44.4;55.6;55.6;22.2;66.7;66.7;66.7;66.7;44.4;66.7
77.8;88.9;88.9;88.9;100;100;100;100;88.9;88.9
100;100;100;77.8;88.9;66.7;88.9;77.8;77.8;100
44.4;88.9;88.9;66.7;100;100;77.8;88.9;88.9;88.9
100;100;100;100;100;100;100;100;100;100
77.8;100;100;66.7;100;66.7;77.8;44.4;44.4;11.1
100;88.9;100;100;100;100;100;100;100;100
100;80;100;80;70;90;100;80;100;80
0;0;30;30;10;30;20;20;30;0
50;60;50;40;40;40;40;60;40;40
70;80;70;70;80;70;90;80;70;70
60;50;40;60;60;40;60;60;60;50
100;77.8;66.7;88.9;100;100;100;88.9;88.9;88.9
100;100;100;100;100;100;100;100;100;100
20;10;0;20;30;30;10;30;20;10
88.9;88.9;88.9;88.9;100;100;100;88.9;88.9;100
50;50;40;60;40;50;60;40;50;50
77.8;77.8;88.9;88.9;100;88.9;77.8;77.8;88.9;77.8
80;80;80;100;80;100;80;100;90;100
50;50;40;50;60;50;60;50;40;50
100;100;77.8;100;100;100;100;100;100;100
100;100;100;44.4;100;77.8;100;100;100;100
100;100;100;100;100;100;100;100;100;100
0;44.4;77.8;22.2;100;88.9;44.4;100;88.9;0
20;30;20;20;0;20;30;20;20;10
44.4;66.7;44.4;44.4;66.7;44.4;44.4;66.7;44.4;44.4
100;100;100;100;66.7;66.7;100;100;100;100
100;100;100;77.8;100;100;100;100;100;100
66.7;77.8;55.6;77.8;88.9;55.6;77.8;88.9;66.7;77.8
44.4;55.6;33.3;77.8;100;100;100;100;66.7;88.9
20;10;0;0;30;0;30;0;10;30
100;0;100;100;100;100;100;100;100;100
100;100;0;55.6;77.8;66.7;66.7;66.7;55.6;0
66.7;100;77.8;66.7;100;66.7;77.8;77.8;88.9;88.9
66.7;88.9;66.7;22.2;100;88.9;11.1;77.8;44.4;88.9
70;70;100;100;70;70;90;70;90;100
33.3;77.8;55.6;22.2;66.7;44.4;55.6;44.4;22.2;44.4
77.8;77.8;100;0;77.8;0;0;77.8;44.4;0
77.8;100;100;44.4;100;100;100;100;44.4;100
88.9;88.9;88.9;77.8;100;88.9;88.9;100;100;100
55.6;66.7;44.4;33.3;77.8;66.7;77.8;66.7;77.8;77.8
77.8;100;100;88.9;100;100;100;100;100;100
100;100;100;0;100;100;100;100;100;100
88.9;100;66.7;66.7;77.8;66.7;88.9;66.7;77.8;77.8
80;90;100;70;90;90;80;80;100;80
55.6;100;55.6;44.4;55.6;44.4;55.6;66.7;77.8;55.6
20;0;20;20;10;0;20;20;30;30
100;100;88.9;55.6;100;100;100;100;77.8;100
77.8;77.8;44.4;44.4;100;88.9;44.4;100;66.7;55.6
70;100;80;90;100;80;90;100;90;90
100;100;88.9;100;100;100;100;100;100;100
66.7;100;88.9;88.9;100;100;100;100;100;100
100;100;100;88.9;100;100;77.8;44.4;44.4;44.4
100;70;90;100;70;100;70;90;70;80
60;60;60;50;60;50;40;40;50;40
100;22.2;22.2;44.4;100;44.4;100;100;33.3;77.8
10;0;20;30;20;30;20;0;20;0
88.9;88.9;88.9;77.8;88.9;100;88.9;88.9;88.9;88.9
44.4;100;77.8;44.4;100;77.8;77.8;77.8;77.8;100
55.6;88.9;77.8;66.7;88.9;66.7;88.9;88.9;55.6;100
44.4;33.3;22.2;88.9;88.9;33.3;100;55.6;55.6;77.8
0;100;100;100;100;100;100;100;100;100
100;30;88.9;44.4;100;77.8;88.9;88.9;77.8;88.9
22.2;66.7;22.2;11.1;44.4;33.3;77.8;22.2;55.6;22.2
100;100;100;100;100;100;100;100;100;100
80;80;100;90;80;100;70;90;90;100
100;100;100;100;100;100;100;100;100;0
77.8;100;88.9;100;100;100;100;100;100;100
77.8;66.7;88.9;44.4;77.8;88.9;77.8;88.9;77.8;100
40;50;40;50;50;50;60;40;40;40
100;100;100;0;100;100;100;100;44.4;100
88.9;88.9;100;88.9;100;100;88.9;100;100;100
100;100;100;100;100;100;100;100;100;100
77.8;88.9;100;66.7;77.8;100;88.9;100;88.9;100
100;77.8;77.8;77.8;88.9;100;100;100;100;100
77.8;88.9;66.7;66.7;100;77.8;100;100;77.8;100
70;80;90;100;100;100;100;100;90;80
77.8;77.8;66.7;55.6;88.9;88.9;88.9;77.8;77.8;88.9
10;30;0;10;10;20;20;20;10;30
44.4;44.4;11.1;0;22.2;0;44.4;77.8;44.4;100
100;100;100;100;100;100;100;100;100;100
44.4;0;77.8;66.7;100;88.9;100;88.9;88.9;100
77.8;88.9;55.6;66.7;88.9;77.8;88.9;88.9;88.9;77.8
55.6;66.7;33.3;44.4;88.9;77.8;100;88.9;77.8;66.7
100;100;100;100;100;100;100;100;100;100
77.8;88.9;66.7;66.7;77.8;77.8;44.4;44.4;66.7;33.3
77.8;77.8;88.9;77.8;100;100;100;100;88.9;100
66.7;66.7;88.9;33.3;100;100;88.9;44.4;77.8;88.9
100;66.7;66.7;44.4;77.8;77.8;77.8;77.8;77.8;77.8
0;20;0;10;30;20;0;0;0;0
77.8;77.8;100;44.4;100;66.7;100;77.8;77.8;100
88.9;88.9;77.8;100;100;100;66.7;77.8;77.8;77.8
0;77.8;100;33.3;0;11.1;0;11.1;0;0
100;100;100;0;100;88.9;77.8;100;66.7;88.9
80;70;70;90;80;90;90;80;70;100
100;100;100;100;100;100;100;100;100;100
22.2;100;100;44.4;77.8;33.3;22.2;44.4;22.2;0
50;40;40;40;40;60;40;40;50;50
0;10;30;10;20;10;20;20;10;30
11.1;22.2;33.3;22.2;66.7;22.2;33.3;11.1;22.2;11.1
60;60;50;60;60;50;60;60;60;60
100;100;77.8;77.8;100;77.8;100;100;55.6;77.8
44.4;55.6;88.9;33.3;77.8;11.1;22.2;33.3;44.4;22.2
77.8;77.8;33.3;44.4;88.9;66.7;55.6;66.7;66.7;44.4
90;100;90;70;100;80;90;70;100;70
50;60;40;60;50;60;60;50;40;60
0;20;10;10;10;10;30;10;0;10
70;70;100;100;100;90;70;100;80;90
44.4;77.8;66.7;11.1;100;66.7;77.8;88.9;55.6;77.8
60;60;40;40;60;60;60;50;50;40
50;40;60;50;40;50;40;40;40;50
88.9;100;100;88.9;100;88.9;88.9;100;100;100
55.6;55.6;33.3;66.7;66.7;77.8;44.4;33.3;22.2;44.4
100;77.8;100;77.8;100;100;100;100;77.8;100
80;90;80;100;70;100;80;80;70;80
100;70;80;100;70;100;100;90;90;70
22.2;66.7;77.8;0;100;55.6;100;88.9;44.4;100
100;100;100;100;100;100;77.8;66.7;100;0
60;60;60;60;60;50;60;60;50;60
66.7;100;66.7;66.7;100;100;100;100;100;100
55.6;100;100;44.4;100;100;100;100;100;100
60;50;50;60;40;50;50;60;50;50
50;60;50;50;60;50;60;40;50;60
66.7;88.9;88.9;77.8;100;88.9;100;88.9;77.8;100
100;100;100;88.9;77.8;100;100;100;77.8;100
100;100;100;100;100;100;100;100;100;100
70;80;80;80;70;90;100;70;80;80
55.6;77.8;66.7;55.6;77.8;66.7;66.7;77.8;55.6;44.4
55.6;55.6;77.8;77.8;100;100;100;100;88.9;100
44.4;88.9;77.8;100;88.9;22.2;100;88.9;22.2;100
11.1;88.9;44.4;0;44.4;11.1;0;11.1;11.1;33.3
44.4;55.6;44.4;22.2;88.9;44.4;100;77.8;88.9;100
77.8;77.8;100;77.8;100;100;100;100;100;100
77.8;100;66.7;66.7;77.8;77.8;100;77.8;77.8;100
11.1;100;100;0;77.8;22.2;77.8;22.2;0;44.4
0;10;10;0;20;20;20;10;20;10
30;20;10;30;10;20;10;20;10;10
30;0;10;0;0;0;30;10;10;10
77.8;77.8;88.9;100;100;100;100;100;100;88.9
70;80;100;80;80;100;70;100;100;100
66.7;100;55.6;44.4;77.8;100;100;100;100;100
0;20;20;10;10;30;20;20;0;10
55.6;77.8;100;77.8;77.8;77.8;66.7;77.8;66.7;77.8
100;70;70;70;90;90;100;90;100;90
77.8;77.8;77.8;77.8;100;100;100;100;88.9;88.9
0;77.8;44.4;0;100;77.8;100;100;100;66.7
40;40;40;40;40;60;40;40;40;40
40;50;50;60;60;40;40;60;50;60
70;100;90;90;80;80;90;80;100;80
77.8;77.8;88.9;44.4;100;100;77.8;100;100;100
88.9;88.9;88.9;88.9;100;100;100;100;100;100
100;88.9;100;100;100;100;77.8;100;88.9;88.9
44.4;66.7;22.2;44.4;88.9;77.8;55.6;55.6;44.4;77.8
50;60;40;50;40;40;60;50;40;40
0;55.6;100;22.2;100;44.4;11.1;66.7;44.4;55.6
100;100;100;66.7;100;66.7;77.8;100;77.8;100
77.8;100;100;22.2;100;100;100;100;100;100
100;100;100;77.8;100;100;100;100;100;100
77.8;100;100;100;77.8;77.8;100;100;77.8;100
88.9;88.9;88.9;100;100;88.9;100;100;100;100
100;100;100;100;100;100;100;100;100;100
77.8;88.9;88.9;77.8;88.9;88.9;88.9;100;77.8;100
40;40;60;40;60;40;50;50;40;40
90;70;90;100;90;90;80;80;90;90
40;50;50;60;50;50;40;40;50;60
100;90;90;80;80;80;80;90;100;90
40;60;40;60;50;50;40;40;40;60
100;100;100;100;80;80;100;70;90;90
100;0;0;0;100;100;0;100;0;0
30;30;10;10;10;0;0;0;30;10
88.9;88.9;88.9;77.8;88.9;77.8;88.9;88.9;88.9;88.9
77.8;100;100;66.7;100;44.4;44.4;44.4;77.8;0
44.4;88.9;77.8;33.3;77.8;77.8;77.8;77.8;77.8;44.4
40;50;50;60;40;60;40;60;40;50
66.7;77.8;11.1;77.8;100;100;88.9;100;88.9;100
