Facilidad;Selección;Sencillez;Tiempo;Amabilidad;gestion;conocimiento;informacion;atencion;solucion
70;70;80;90;80;100;100;90;70;90
50;40;50;60;40;40;60;40;40;50
88.9;100;77.8;44.4;100;100;100;100;100;100
20;20;10;0;10;30;10;10;0;20
0;100;100;0;100;0;100;100;44.4;0
70;90;70;90;100;100;80;100;80;100
100;100;70;70;80;100;70;80;70;70
77.8;77.8;77.8;88.9;100;100;100;100;88.9;88.9
55.6;55.6;66.7;77.8;55.6;77.8;77.8;77.8;66.7;77.8
55.6;66.7;88.9;44.4;100;88.9;77.8;66.7;66.7;77.8
100;100;100;100;100;100;100;100;100;100
66.7;66.7;66.7;66.7;77.8;66.7;77.8;66.7;77.8;66.7
100;100;100;100;100;100;100;100;100;100
66.7;66.7;100;33.3;100;77.8;77.8;55.6;44.4;33.3
55.6;100;77.8;88.9;100;100;100;100;88.9;100
100;100;100;77.8;100;88.9;88.9;100;77.8;100
40;50;40;40;50;40;40;50;50;50
33.3;44.4;44.4;22.2;0;0;0;11.1;22.2;11.1
100;100;100;100;100;100;100;100;100;100
44.4;77.8;77.8;77.8;77.8;66.7;66.7;77.8;66.7;77.8
44.4;44.4;77.8;44.4;77.8;77.8;77.8;77.8;77.8;77.8
50;40;60;40;60;60;50;60;50;40
100;100;88.9;88.9;100;100;100;100;100;100
66.7;100;100;77.8;100;88.9;100;100;88.9;100
100;100;100;100;100;100;100;100;100;100
0;10;30;10;0;30;10;20;0;0
77.8;88.9;88.9;66.7;66.7;77.8;77.8;66.7;88.9;77.8
88.9;100;100;100;100;100;100;100;100;100
0;10;30;10;0;10;0;0;20;30
77.8;100;100;88.9;100;100;100;100;100;100
50;50;40;50;50;50;50;60;60;50
100;90;80;70;90;80;90;100;80;100
55.6;88.9;77.8;66.7;77.8;77.8;77.8;88.9;55.6;88.9
77.8;88.9;100;66.7;100;100;100;77.8;77.8;100
100;88.9;88.9;88.9;88.9;77.8;77.8;77.8;77.8;77.8
40;40;60;60;60;50;50;60;60;60
77.8;100;100;100;100;44.4;100;100;100;100
70;80;80;70;90;100;90;90;70;80
10;20;10;0;30;30;0;0;20;0
70;70;90;70;100;90;100;90;100;100
100;55.6;77.8;22.2;77.8;77.8;88.9;88.9;100;100
0;88.9;77.8;66.7;100;88.9;100;88.9;77.8;88.9
10;30;0;30;20;30;10;10;10;10
40;50;50;60;60;40;40;60;60;50
100;100;100;44.4;100;100;100;100;100;77.8
100;100;88.9;88.9;100;100;88.9;100;100;100
88.9;100;88.9;88.9;100;100;100;100;100;77.8
44.4;66.7;77.8;33.3;77.8;77.8;88.9;66.7;66.7;66.7
77.8;100;100;100;77.8;77.8;100;100;100;77.8
10;20;20;20;10;20;10;30;20;30
55.6;66.7;66.7;77.8;88.9;77.8;100;100;55.6;100
50;60;50;50;40;40;60;60;50;60
66.7;100;55.6;77.8;100;77.8;22.2;55.6;100;33.3
80;70;90;90;100;70;70;100;70;90
40;40;50;50;50;50;60;60;40;50
88.9;88.9;88.9;66.7;88.9;88.9;88.9;88.9;66.7;88.9
55.6;77.8;44.4;44.4;100;77.8;100;100;77.8;77.8
44.4;77.8;55.6;77.8;100;88.9;88.9;77.8;77.8;77.8
44.4;30;88.9;77.8;100;100;88.9;88.9;88.9;100
100;100;100;100;100;100;100;100;100;100
77.8;77.8;100;11.1;100;77.8;66.7;100;100;77.8
40;50;60;60;40;50;60;50;50;40
100;100;100;0;100;100;100;100;100;100
44.4;44.4;100;0;100;88.9;66.7;100;100;100
100;100;100;100;100;100;100;100;100;100
77.8;77.8;100;0;100;100;100;100;100;100
100;100;77.8;100;100;88.9;66.7;100;100;66.7
55.6;77.8;55.6;66.7;77.8;66.7;66.7;66.7;77.8;66.7
30;10;0;0;10;10;10;20;30;20
40;60;40;50;50;40;50;50;50;40
100;100;100;100;100;100;100;100;100;100
44.4;100;77.8;55.6;100;88.9;55.6;100;77.8;88.9
100;100;100;66.7;100;100;100;100;100;100
100;80;100;100;90;100;100;70;90;80
88.9;100;88.9;88.9;100;100;100;100;100;100
40;60;60;60;50;60;40;50;40;50
80;80;70;80;70;80;70;80;100;100
20;0;10;20;0;10;30;10;20;0
44.4;100;100;77.8;100;100;100;100;66.7;44.4
0;0;10;0;10;30;0;20;30;0
